Лет опыта,Возраст,Увольнений в трудовой,Высших образований,Среднеспециальных образований,В браке,Должность,Повышенный оклад
4,27,0,0,0,Да,Не нанят,Нет
29,57,1,2,0,Да,Техник,Нет
19,42,0,1,0,Нет,Мастер,Нет
9,38,0,0,1,Нет,Техник,Нет
20,40,0,0,1,Да,Оператор,Премия
20,40,1,1,0,Нет,Не нанят,Нет
27,55,0,0,0,Да,Техник,Нет
14,35,0,1,0,Нет,Мастер,Нет
30,52,0,0,1,Да,Оператор,Нет
23,49,0,0,1,Нет,Техник,Нет
15,41,0,0,0,Нет,Оператор,Нет
5,31,0,0,1,Да,Техник,Нет
12,32,1,0,1,Да,Не нанят,Нет
22,45,0,0,0,Нет,Техник,Нет
37,57,0,0,1,Да,Техник,Премия
10,37,0,1,0,Нет,Мастер,Нет
35,55,1,0,1,Да,Не нанят,Нет
22,44,0,0,1,Нет,Техник,Нет
36,62,0,1,0,Да,Начальник производства,Двойная премия
8,28,0,0,1,Нет,Техник,Нет
25,48,2,0,1,Нет,Не нанят,Нет
38,63,1,1,0,Да,Не нанят,Нет
0,25,1,0,1,Нет,Не нанят,Нет
35,58,1,0,1,Да,Не нанят,Нет
1,24,1,0,1,Нет,Не нанят,Нет
9,35,0,1,0,Нет,Техник,Нет
24,53,0,0,1,Да,Техник,Премия
30,50,0,1,0,Нет,Мастер,Нет
17,38,1,0,1,Да,Не нанят,Нет
21,44,0,1,0,Да,Начальник производства,Премия
16,41,0,1,0,Да,Мастер,Нет
35,58,1,0,1,Да,Не нанят,Нет
39,61,1,0,1,Да,Не нанят,Нет
4,28,0,1,0,Нет,Техник,Нет
14,43,0,0,1,Нет,Техник,Нет
37,64,1,0,1,Да,Не нанят,Нет
3,23,0,0,0,Да,Не нанят,Нет
12,37,0,1,0,Нет,Мастер,Нет
23,45,0,1,0,Да,Мастер,Премия
17,40,0,0,1,Нет,Техник,Нет
33,56,0,0,1,Да,Оператор,Премия
7,31,0,0,1,Да,Техник,Нет
13,37,0,0,1,Да,Оператор,Премия
28,55,0,0,1,Да,Техник,Нет
32,60,1,0,1,Да,Не нанят,Нет
25,52,0,0,1,Да,Оператор,Премия
37,63,0,1,0,Да,Мастер,Двойная премия
9,32,1,1,0,Да,Не нанят,Нет
25,49,0,0,1,Нет,Техник,Нет
1,24,0,0,1,Да,Техник,Нет
4,26,1,0,0,Да,Не нанят,Нет
15,40,1,2,0,Да,Техник,Нет
25,49,1,0,0,Нет,Не нанят,Нет
19,48,0,1,0,Да,Мастер,Премия
33,56,0,1,0,Да,Начальник производства,Двойная премия
18,38,1,0,1,Нет,Не нанят,Нет
3,32,0,0,1,Да,Оператор,Нет
3,25,1,2,0,Да,Техник,Нет
18,44,0,1,0,Нет,Мастер,Нет
22,46,0,0,1,Да,Техник,Нет
24,53,0,0,1,Да,Техник,Премия
12,38,0,0,0,Нет,Не нанят,Нет
32,52,0,1,0,Да,Начальник производства,Нет
13,33,0,0,1,Нет,Оператор,Нет
0,21,0,1,0,Да,Техник,Нет
16,44,0,0,1,Нет,Техник,Нет
23,51,0,0,1,Да,Техник,Премия
6,34,0,0,1,Нет,Оператор,Нет
0,22,0,0,0,Нет,Не нанят,Нет
35,56,0,0,1,Да,Оператор,Нет
38,59,0,0,1,Да,Техник,Нет
13,33,2,0,1,Да,Не нанят,Нет
34,61,0,0,0,Да,Оператор,Нет
30,56,0,1,0,Да,Начальник производства,Премия
7,29,1,0,1,Да,Не нанят,Нет
34,59,0,1,0,Да,Начальник производства,Нет
14,38,0,1,0,Нет,Мастер,Нет
7,36,1,0,1,Да,Не нанят,Нет
25,52,1,0,1,Да,Не нанят,Нет
23,48,0,0,1,Нет,Техник,Нет
7,30,0,1,0,Нет,Техник,Нет
36,65,0,0,1,Да,Техник,Премия
1,30,0,0,1,Нет,Оператор,Нет
26,53,0,1,0,Да,Мастер,Премия
9,30,0,1,0,Да,Техник,Нет
29,49,0,0,1,Да,Техник,Премия
13,42,0,1,0,Да,Мастер,Нет
26,53,0,0,1,Да,Техник,Нет
5,25,1,0,1,Нет,Не нанят,Нет
3,25,1,0,1,Нет,Не нанят,Нет
33,59,0,0,1,Да,Оператор,Нет
27,51,0,0,1,Да,Техник,Нет
1,24,1,1,0,Нет,Не нанят,Нет
13,35,0,0,0,Нет,Техник,Нет
25,46,1,2,0,Нет,Техник,Нет
35,60,2,0,1,Да,Не нанят,Нет
0,23,1,0,1,Нет,Не нанят,Нет
24,51,0,0,1,Да,Оператор,Премия
14,37,0,0,1,Нет,Оператор,Нет
23,52,0,1,0,Да,Мастер,Премия
5,28,1,1,0,Да,Не нанят,Нет
30,55,0,0,1,Да,Оператор,Премия
6,31,0,0,0,Нет,Оператор,Нет
38,67,0,0,0,Да,Оператор,Нет
7,31,1,0,1,Да,Не нанят,Нет
13,40,1,2,0,Нет,Техник,Нет
24,51,0,1,0,Да,Начальник производства,Двойная премия
23,43,1,0,1,Да,Не нанят,Нет
34,62,0,1,0,Да,Начальник производства,Двойная премия
1,23,0,0,1,Нет,Оператор,Нет
19,46,0,0,1,Да,Оператор,Нет
23,48,0,0,1,Нет,Оператор,Нет
29,51,0,0,0,Да,Оператор,Нет
10,32,1,1,0,Да,Не нанят,Нет
21,45,0,0,1,Да,Техник,Нет
32,55,1,0,0,Да,Не нанят,Нет
13,38,0,0,1,Нет,Оператор,Нет
25,54,1,1,0,Да,Не нанят,Нет
17,37,0,1,0,Нет,Мастер,Нет
28,49,0,0,0,Да,Техник,Нет
11,36,1,1,0,Нет,Не нанят,Нет
32,59,1,0,0,Да,Не нанят,Нет
1,27,0,0,1,Нет,Техник,Нет
14,36,1,0,1,Да,Не нанят,Нет
31,52,0,0,1,Да,Техник,Нет
17,44,0,0,1,Да,Техник,Нет
3,23,0,1,0,Да,Мастер,Нет
13,41,0,1,0,Нет,Мастер,Нет
36,64,1,1,0,Да,Не нанят,Нет
17,42,0,0,1,Нет,Техник,Нет
10,35,0,2,0,Да,Мастер,Нет
28,50,0,1,0,Да,Начальник производства,Двойная премия
16,38,0,0,1,Нет,Оператор,Нет
29,55,1,0,1,Да,Не нанят,Нет
24,47,0,0,1,Нет,Оператор,Нет
34,54,0,0,1,Да,Техник,Нет
37,57,0,0,1,Да,Оператор,Нет
1,29,0,1,0,Да,Техник,Нет
28,51,1,0,1,Да,Не нанят,Нет
12,33,1,0,1,Нет,Не нанят,Нет
22,47,2,0,1,Да,Не нанят,Нет
5,30,0,1,0,Нет,Техник,Нет
20,41,1,1,0,Нет,Не нанят,Нет
9,34,1,0,1,Да,Не нанят,Нет
38,59,1,0,0,Да,Не нанят,Нет
21,49,0,2,0,Да,Начальник производства,Двойная премия
37,64,0,0,0,Да,Техник,Нет
23,52,0,0,1,Да,Техник,Нет
0,27,0,0,0,Да,Не нанят,Нет
33,59,0,1,0,Да,Начальник производства,Премия
35,59,1,1,0,Да,Не нанят,Нет
6,31,1,1,0,Да,Не нанят,Нет
11,31,1,1,0,Нет,Не нанят,Нет
24,51,0,0,0,Да,Техник,Нет
7,30,0,0,1,Нет,Оператор,Нет
5,34,0,1,0,Да,Техник,Нет
38,64,1,0,1,Да,Не нанят,Нет
36,57,1,2,0,Да,Техник,Нет
13,40,1,1,0,Нет,Не нанят,Нет
19,47,2,0,0,Нет,Не нанят,Нет
18,39,0,0,0,Нет,Оператор,Нет
3,29,1,0,0,Нет,Не нанят,Нет
17,46,0,0,1,Нет,Техник,Нет
0,25,0,0,1,Да,Оператор,Нет
17,45,0,0,1,Нет,Техник,Нет
16,42,0,0,0,Нет,Техник,Нет
32,53,0,1,0,Да,Мастер,Двойная премия
15,39,0,0,1,Нет,Техник,Нет
20,47,1,0,1,Нет,Не нанят,Нет
16,39,0,1,0,Да,Технолог,Двойная премия
0,27,1,0,1,Нет,Не нанят,Нет
20,46,0,0,1,Нет,Оператор,Нет
0,23,0,0,1,Нет,Оператор,Нет
15,36,0,0,1,Нет,Техник,Нет
4,33,1,0,0,Да,Не нанят,Нет
2,28,0,0,1,Да,Техник,Нет
27,50,0,0,1,Да,Оператор,Нет
21,46,1,1,0,Нет,Не нанят,Нет
33,61,0,0,1,Да,Техник,Премия
32,52,0,0,1,Да,Техник,Премия
14,42,0,0,1,Да,Техник,Нет
39,60,0,1,0,Да,Мастер,Двойная премия
18,40,0,0,1,Нет,Техник,Нет
32,61,0,0,1,Да,Техник,Премия
25,52,0,1,0,Да,Мастер,Премия
14,42,0,0,1,Да,Техник,Премия
27,52,0,1,0,Да,Мастер,Нет
38,59,1,1,0,Да,Не нанят,Нет
13,41,0,0,0,Да,Не нанят,Нет
30,58,0,0,1,Да,Техник,Нет
28,53,1,0,1,Да,Не нанят,Нет
6,30,0,0,0,Нет,Оператор,Нет
31,57,0,0,1,Да,Техник,Нет
27,54,1,0,1,Да,Не нанят,Нет
36,56,0,0,1,Да,Оператор,Премия
26,46,0,0,1,Нет,Оператор,Нет
37,63,1,0,1,Да,Не нанят,Нет
17,40,2,0,0,Да,Не нанят,Нет
11,32,0,1,0,Нет,Мастер,Нет
27,51,0,1,0,Да,Начальник производства,Премия
33,58,0,1,0,Да,Начальник производства,Премия
17,46,1,0,1,Нет,Не нанят,Нет
29,49,0,0,1,Нет,Техник,Нет
35,64,0,0,1,Да,Техник,Нет
19,44,0,1,0,Нет,Мастер,Нет
9,35,1,1,0,Нет,Не нанят,Нет
2,22,0,0,1,Нет,Оператор,Нет
24,50,0,1,0,Нет,Мастер,Нет
35,64,0,1,0,Да,Начальник производства,Двойная премия
16,37,0,0,1,Нет,Оператор,Нет
23,46,0,0,1,Нет,Техник,Нет
11,32,0,1,0,Нет,Мастер,Нет
30,59,0,1,0,Да,Мастер,Двойная премия
30,53,1,1,0,Да,Не нанят,Нет
18,40,1,0,1,Да,Не нанят,Нет
34,54,0,0,1,Да,Техник,Премия
2,26,0,0,0,Нет,Не нанят,Нет
10,39,1,0,1,Нет,Не нанят,Нет
32,61,0,0,1,Да,Оператор,Нет
5,29,0,1,0,Да,Мастер,Нет
35,57,1,0,1,Да,Не нанят,Нет
33,54,0,0,0,Да,Техник,Нет
2,26,0,0,1,Да,Техник,Нет
21,48,0,1,0,Нет,Мастер,Нет
30,57,0,0,1,Да,Оператор,Нет
28,54,1,0,1,Да,Не нанят,Нет
3,27,1,0,1,Да,Не нанят,Нет
0,28,0,0,1,Да,Техник,Нет
26,47,0,1,0,Нет,Мастер,Нет
26,48,0,0,1,Нет,Техник,Нет
10,33,1,0,1,Нет,Не нанят,Нет
38,59,0,0,1,Да,Техник,Премия
27,56,0,0,0,Да,Техник,Нет
15,36,0,0,1,Да,Оператор,Нет
39,65,0,1,0,Да,Мастер,Двойная премия
16,40,1,0,1,Нет,Не нанят,Нет
34,61,0,0,0,Да,Оператор,Нет
27,51,0,0,1,Да,Техник,Премия
4,25,0,0,0,Нет,Не нанят,Нет
18,44,0,0,0,Нет,Оператор,Нет
16,39,0,1,0,Да,Технолог,Двойная премия
0,27,1,0,1,Да,Не нанят,Нет
4,24,0,1,0,Нет,Техник,Нет
34,60,1,0,1,Да,Не нанят,Нет
3,32,0,0,1,Нет,Техник,Нет
